04/27/2026-16:53:18.526153  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40600 -> 172.16.10.3:80
04/27/2026-16:53:18.526153  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40600 -> 172.16.10.3:80
04/27/2026-16:53:18.532576  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40818 -> 172.16.10.3:80
04/27/2026-16:53:18.532576  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40818 -> 172.16.10.3:80
04/27/2026-16:53:18.535101  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40892 -> 172.16.10.3:80
04/27/2026-16:53:18.535101  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40892 -> 172.16.10.3:80
04/27/2026-16:53:18.539767  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41018 -> 172.16.10.3:80
04/27/2026-16:53:18.539767  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41018 -> 172.16.10.3:80
04/27/2026-16:53:18.542421  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41114 -> 172.16.10.3:80
04/27/2026-16:53:18.542421  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41114 -> 172.16.10.3:80
04/27/2026-16:53:18.544365  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41174 -> 172.16.10.3:80
04/27/2026-16:53:18.544365  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41174 -> 172.16.10.3:80
04/27/2026-16:53:18.550495  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41368 -> 172.16.10.3:80
04/27/2026-16:53:18.550495  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41368 -> 172.16.10.3:80
04/27/2026-16:53:18.577172  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40814 -> 172.16.10.3:80
04/27/2026-16:53:18.577172  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40814 -> 172.16.10.3:80
04/27/2026-16:53:18.578055  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40838 -> 172.16.10.3:80
04/27/2026-16:53:18.578055  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40838 -> 172.16.10.3:80
04/27/2026-16:53:18.580099  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40988 -> 172.16.10.3:80
04/27/2026-16:53:18.580099  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:40988 -> 172.16.10.3:80
04/27/2026-16:53:18.582810  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41314 -> 172.16.10.3:80
04/27/2026-16:53:18.582810  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41314 -> 172.16.10.3:80
04/27/2026-16:53:18.584418  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41336 -> 172.16.10.3:80
04/27/2026-16:53:18.584418  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41336 -> 172.16.10.3:80
04/27/2026-16:53:18.585558  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41376 -> 172.16.10.3:80
04/27/2026-16:53:18.585558  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41376 -> 172.16.10.3:80
04/27/2026-16:53:18.711838  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41816 -> 172.16.10.3:80
04/27/2026-16:53:18.711838  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41816 -> 172.16.10.3:80
04/27/2026-16:53:25.598970  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:60414 -> 172.16.10.3:80
04/27/2026-16:53:25.598970  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:60414 -> 172.16.10.3:80
04/27/2026-16:53:25.599809  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:60450 -> 172.16.10.3:80
04/27/2026-16:53:25.599809  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:60450 -> 172.16.10.3:80
04/27/2026-16:53:26.110239  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:39897
04/27/2026-16:53:28.918372  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.3:80 -> 172.16.10.1:47515
04/27/2026-16:53:33.035846  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:47708 -> 172.16.10.3:80
04/27/2026-16:53:33.035846  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:47708 -> 172.16.10.3:80
04/27/2026-16:53:33.135299  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:50840 -> 172.16.10.3:80
04/27/2026-16:53:33.135299  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:50840 -> 172.16.10.3:80
04/27/2026-16:53:33.782613  [**] [1:2210036:3] SURICATA STREAM FIN2 invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41374 -> 172.16.10.3:80
04/27/2026-16:53:33.782613  [**] [1:2210045:2] SURICATA STREAM Packet with invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 172.16.10.1:41374 -> 172.16.10.3:80
